ID SLength SWidth Femur Tibia Humerus Ulna Age
155 38.8 28.5 73.4 76.8 113.5 74 378
156 37.4 28.9 77.3 73.3 109.5 70.4 468
157 38.6 29 75.1 75.1 114 73.4 396
158 39.4 30 76.1 75.8 112 73.3 471
159 38.6 29.3 75.9 75.3 113.5 75.2 418
160 37.9 31.3 82.6 81.4 121 78.3 432
161 39.2 30 76.5 79 117 77.3 444
162 40.4 30.2 74.7 84.3 123 80.6 446
163 38.3 29.3 76.5 77.1 113 75.2 421
164 38.3 29.8 77.8 75.1 112.5 71.5 264
165 37.2 29.2 78.5 77.8 115.5 71.8 439
166 39.8 31.1 78.2 78.9 116 76.9 360
167 38.5 31 80.5 82.7 120 77.8 273
168 37.5 31.5 84 76.2 114.5 74.5 363
169 39.7 30.1 75.8 75.4 112 73.4 492
170 36.4 27.5 75.5 68.4 102 66.5 468
171 37.8 30.3 80.2 74.9 111 74.8 418
172 37.6 29.6 78.7 79.6 120 74.9 272
173 39.9 30.2 75.7 77.1 114.5 75.5 353
174 37.8 29.8 78.9 75.1 114 74.9 468
175 38.9 29.2 75.1 76.8 115 74.9 249
176 38.3 29.9 78.1 75.1 111.5 73.8 785
177 37.5 27.4 73.1 75.3 113 73.3 275
178 37.4 29.3 78.3 72 108.5 68.7 337
179 38.2 29.9 78.3 72.8 110.5 71 337
180 37.8 30.2 79.9 80 117 75.1 524
181 38.7 29.2 75.5 76.2 115 73.5 581
182 40.5 30.4 75.1 83.8 125.5 80.2 366
183 40.1 30.4 75.8 76.5 115.5 73.7 332
184 38.9 28.8 74 74.3 113 73.8 866
185 38.3 29.9 78.1 75.7 115.5 73.3 338
186 40 30.1 75.2 80 119 76.2 626
187 36.6 28.9 79 72.3 107 68.8 388
188 38.6 29.7 77 74.2 112 73.9 460
189 39.4 29.5 74.9 78.2 115 75.1 420
190 35.8 28.6 79.9 71.9 108 70.2 456
191 37.2 28.9 77.7 73.9 107 71.5 460
192 38.3 28.9 75.5 76 113 74.5 349
193 37.3 29.8 79.9 74.8 111 71.8 490
194 36.8 27.4 74.4 70.9 103.5 68 417
195 37.7 29.8 79.1 74.2 111 72.4 352
196 40.6 29.5 72.7 77.2 114.5 74.9 361
197 40.2 30.1 74.9 78 114.5 76.4 495
198 40.8 29.9 73.3 81.2 117.5 75.7 525
199 39.4 29.9 75.9 76.5 111 71.8 313
200 39.7 31.2 78.6 78.9 119 77.3 266
201 39.2 29 74 79.4 115.5 74.4 333
202 38 29.3 77.1 76.2 114.5 72.3 376
203 40.6 30.2 74.4 82.9 121 78.7 333
204 40.1 30.9 77.1 81 120 77.8 356
205 39.8 29.2 73.4 78.5 119 75.5 539
206 40.6 29.6 72.9 78.5 118 74.2 401
207 39.1 30.5 78 77.4 114.7 73.6 302
208 38.1 29 76.1 72.3 107 71.8 505
209 40.3 30.6 75.9 81 119.5 77 244
210 39.5 29.7 75.2 78.6 116 75.5 348
211 38.4 30.6 79.7 75.9 115.5 74.4 284
212 39.7 30.8 77.6 77.3 116.5 74.5 396
213 39.5 30 76 81 118 76.9 341
214 39.1 30.8 78.8 79.2 117.5 76.6 350
215 39.7 30.4 76.6 81.2 122.5 78.5 280
216 39.2 30.5 77.8 79.7 119 77.8 310
217 38.9 31.2 80.2 78.3 116.5 75.7 397
218 39 30.3 77.7 76.9 115 76.8 363
219 40.8 30.2 74 81.9 121.2 78.4 552
220 38 29 76.3 72.6 108 68.7 461
221 37.6 30.8 81.9 78.3 115 72.1 377
222 40.7 32.2 79.1 78.7 117 75.5 326
223 41 31 75.6 77.4 119 74.7 517
224 40.5 30.5 75.3 77 114 73.6 393
225 38.8 30.1 77.6 78.4 115.5 75 359
226 39.6 30.1 76 77.7 113.5 75.1 503
227 39.3 30.8 78.4 73.9 110 72.9 432
228 38.4 29.1 75.8 76.6 114.5 72.8 368
229 39.5 30.7 77.7 74.6 110.5 73.5 485
230 38.6 28.9 74.9 74.7 109 71.5 357
231 40.2 30.5 75.9 80.5 119.5 76.7 309
232 38.6 29.9 77.5 80.5 121.5 77.5 378
233 39.8 28.6 71.9 71.6 105 69.9 281
234 40.1 29.3 73.1 78.8 117 75 439
235 41.6 29.8 71.6 80.1 118.5 75.5 283
236 35.9 28.9 80.5 72.4 105.5 70.3 365
237 38.5 28.9 72.2 80.1 118 75.2 265
238 38.7 31.1 80.4 81 121 76.8 351
239 37.5 30 80 78.8 117.5 75.9 542
240 37.7 29.8 79 76.1 112 73.2 316
241 36.3 28.9 79.6 72.5 107 72.8 275
242 37.2 28.3 76.1 76.4 111 71.4 271
243 40.1 32 79.8 81.5 123.5 79.5 397
244 38.4 30.3 78.9 76.6 112 72.8 454
245 40.5 29.3 72.3 76.7 113.5 74.7 246
246 39.7 31.4 79.1 77.7 115 75.5 284
247 40.4 28.8 71.3 78.6 118.5 76.7 463
248 39.2 31.2 79.6 78.1 116.5 74.5 332
249 37.4 28.3 75.7 65 97.5 64.5 264
250 40 31.5 78.8 80.3 119.5 78.6 305
251 41.1 30 73 79.5 117.5 76.3 368
252 38.7 30 77.5 74.2 110.5 71.6 343
253 39.4 29.6 75.1 78.6 116.5 75.5 363
254 37.3 30.1 80.7 76.6 112.5 73.6 326
255 39.3 29.7 75.6 79.4 120.5 76 339
256 37.8 28.5 75.4 70.8 105 69.1 484
257 37.6 28.1 74.7 73.1 108 70.2 428
258 38.8 29.5 76 73.4 106.5 72.2 271
259 40.1 29.3 73.1 76.6 113 72.3 378
260 37.3 29.9 80.2 74.6 109 72.9 353
261 41.1 31.6 76.9 83.3 122 79.8 388
262 39.9 29.5 73.9 77.8 116 75.4 316
263 39.6 30.2 76.3 74.7 110 73.6 329
264 38.9 29.4 75.6 74.3 110 72.1 304
265 40.9 31.2 76.3 82 121 77.6 388
266 37.5 29.4 78.4 76 111 72.1 335
267 39.8 30.6 76.9 75.8 113.9 72.6 367
268 39.4 30 76.1 77.8 119 75.8 335
269 39.5 29.4 74.4 75 110.5 68.9 304
270 38.6 31.4 81.4 78.4 115.5 75.8 463
271 38.2 29.2 76.4 75.6 112 72.7 445
272 40.7 29.9 73.5 78.9 115.5 74.2 299
273 37.3 28.9 77.5 74.7 108.5 69.5 353
274 39 28.4 72.8 76.4 114 73.7 336
275 40.3 32.2 79.9 79.6 120.5 77.6 367
276 38.5 30.4 78.9 69.9 118 76.2 533
277 36.6 28.1 76.8 73.8 109.5 72.3 353
278 39.4 30.7 77.9 77.5 114.5 75.5 378
279 38.9 29.2 75.1 73.7 107.5 71.5 377
280 39.1 30.7 78.5 75.7 114 76 364
281 39.7 30.1 75.8 77.2 115.5 74.2 347
282 38.1 29.6 77.7 77.6 111.5 75.8 361
283 39.4 30.8 78.2 80.4 118.5 77.7 371
